dataset,split,classifier,tuned,accuracy,precision,recall,f1,auc_macro,cm_file,loss_file,best_params
digits,0.5,MLP,False,0.9221357063403782,0.924727205178225,0.9215088220471624,0.9214529185513516,0.9942409044696708,/content/assignment_outputs/mlp/digits_MLP_split50_cm_notuned.png,/content/assignment_outputs/mlp/digits_MLP_split50_loss_notuned.png,
digits,0.5,MLP,True,0.9588431590656284,0.9595847988876908,0.9585493539836736,0.9585883218695757,0.9981625294644232,/content/assignment_outputs/mlp/digits_MLP_split50_cm_tuned.png,/content/assignment_outputs/mlp/digits_MLP_split50_loss_tuned.png,"{'alpha': 0.0001, 'learning_rate_init': 0.01, 'max_iter': 400, 'momentum': 0.9}"
digits,0.6,MLP,False,0.9304589707927676,0.9336892966769744,0.929937608910694,0.9297920744392176,0.9951673926226322,/content/assignment_outputs/mlp/digits_MLP_split60_cm_notuned.png,/content/assignment_outputs/mlp/digits_MLP_split60_loss_notuned.png,
digits,0.6,MLP,True,0.965229485396384,0.9663119001021644,0.9648799034695232,0.9649877513242938,0.9985916758168384,/content/assignment_outputs/mlp/digits_MLP_split60_cm_tuned.png,/content/assignment_outputs/mlp/digits_MLP_split60_loss_tuned.png,"{'alpha': 0.0001, 'learning_rate_init': 0.01, 'max_iter': 400, 'momentum': 0.9}"
digits,0.7,MLP,False,0.9481481481481482,0.949080744865894,0.9476030503388996,0.947685190822652,0.9954379921344094,/content/assignment_outputs/mlp/digits_MLP_split70_cm_notuned.png,/content/assignment_outputs/mlp/digits_MLP_split70_loss_notuned.png,
digits,0.7,MLP,True,0.9796296296296296,0.9795843045843045,0.9795506345506344,0.9795336364233732,0.9987580039308108,/content/assignment_outputs/mlp/digits_MLP_split70_cm_tuned.png,/content/assignment_outputs/mlp/digits_MLP_split70_loss_tuned.png,"{'alpha': 0.0001, 'learning_rate_init': 0.01, 'max_iter': 200, 'momentum': 0.9}"
digits,0.8,MLP,False,0.9416666666666668,0.9439870509607352,0.9411776061776064,0.9409253748837612,0.9958012434937904,/content/assignment_outputs/mlp/digits_MLP_split80_cm_notuned.png,/content/assignment_outputs/mlp/digits_MLP_split80_loss_notuned.png,
digits,0.8,MLP,True,0.9666666666666668,0.9663430587114796,0.9663449163449164,0.96604531521341,0.998709611491758,/content/assignment_outputs/mlp/digits_MLP_split80_cm_tuned.png,/content/assignment_outputs/mlp/digits_MLP_split80_loss_tuned.png,"{'alpha': 0.0001, 'learning_rate_init': 0.01, 'max_iter': 400, 'momentum': 0.7}"
wine,0.5,MLP,False,0.9438202247191012,0.9469841269841268,0.9476190476190476,0.9467345947606824,0.988008721765784,/content/assignment_outputs/mlp/wine_MLP_split50_cm_notuned.png,/content/assignment_outputs/mlp/wine_MLP_split50_loss_notuned.png,
wine,0.5,MLP,True,0.9550561797752808,0.9561247947454844,0.9587301587301588,0.9572005073215726,0.993644930085608,/content/assignment_outputs/mlp/wine_MLP_split50_cm_tuned.png,/content/assignment_outputs/mlp/wine_MLP_split50_loss_tuned.png,"{'alpha': 0.0001, 'learning_rate_init': 0.01, 'max_iter': 200, 'momentum': 0.7}"
wine,0.6,MLP,False,0.9583333333333334,0.9632850241545894,0.960727969348659,0.9617742517129464,0.9914048345659212,/content/assignment_outputs/mlp/wine_MLP_split60_cm_notuned.png,/content/assignment_outputs/mlp/wine_MLP_split60_loss_notuned.png,
